Timestamp,Charging_per_day,MAX. TEMP(F),MIN. TEMP(F),Precipitation (Inches),Snowfall (Inches),Snow Cover (Inches),Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Weekend,Season_Fall,Season_Spring,Season_Summer,Season_Winter,Hour_0
2018-04-13,213.44072683980784,69,35,0.01,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-04-14,416.6196484416348,57,28,0.0,0.0,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-04-15,189.30821448823878,59,28,0.0,0.0,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-04-16,184.4375094451179,65,31,0.0,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-04-17,188.94373225588924,69,43,0.0,0.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-04-18,228.63265377816572,56,28,0.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-04-19,202.85713455490696,61,27,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-04-20,245.25158883201297,58,35,0.03,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-04-21,210.51366188458027,46,32,0.37,0.7,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-04-22,146.16067622894306,64,29,0.0,0.0,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-04-23,111.52033151035442,71,35,0.0,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-04-24,167.84855422658612,68,33,0.48,1.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-04-25,163.01716553448392,66,27,0.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-04-26,210.15508707455993,66,41,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-04-27,389.0772533759263,72,34,0.0,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-04-28,304.92262687388296,73,38,0.0,0.0,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-04-29,177.72280854486377,81,47,0.0,0.0,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-04-30,186.82057392609138,76,43,0.0,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-05-01,269.80777403251693,67,45,0.0,0.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-05-02,198.79792812433087,57,42,0.24,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-05-03,222.04578938602646,53,38,1.44,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-05-04,365.8940022716927,69,37,0.02,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-05-05,232.020324369025,75,47,0.0,0.0,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-05-06,264.8138930754476,75,43,0.0,0.0,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-05-07,288.244134963577,82,46,0.0,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-05-08,143.60180293884125,82,47,0.0,0.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-05-09,201.20777084280292,76,46,0.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-05-10,169.6962551323913,84,45,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-05-11,330.6100395787593,84,49,0.0,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-05-12,306.4877813874419,64,51,0.44,0.0,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-05-13,330.8541317352037,57,49,0.28,0.0,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-05-14,178.41593310293757,64,49,0.65,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-05-15,248.25402048307302,71,41,0.01,0.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-05-16,355.9963799124021,81,44,0.0,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-05-17,311.7241444793687,78,42,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-05-18,222.67527473823725,75,48,0.51,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-05-19,278.06651829079414,53,44,0.39,0.0,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-05-20,148.25208412979862,51,41,0.42,0.0,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-05-21,272.96848304711375,75,40,0.01,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-05-22,254.01929885500564,77,47,0.0,0.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-05-23,273.3062756455243,74,46,0.04,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-05-24,437.86484412606177,82,48,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-05-25,300.93557210497886,86,48,0.0,0.0,0,False,False,False,False,True,False,False,False,False,True,False,False,True
2018-05-26,368.59395905010643,86,50,0.0,0.0,0,False,False,False,False,False,True,False,True,False,True,False,False,True
2018-05-27,328.1112724826809,80,54,0.0,0.0,0,False,False,False,False,False,False,True,True,False,True,False,False,True
2018-05-28,196.723726333185,79,52,0.07,0.0,0,True,False,False,False,False,False,False,False,False,True,False,False,True
2018-05-29,288.87762338923034,73,49,0.0,0.0,0,False,True,False,False,False,False,False,False,False,True,False,False,True
2018-05-30,377.55792927176554,82,45,0.24,0.0,0,False,False,True,False,False,False,False,False,False,True,False,False,True
2018-05-31,185.7618405792955,87,50,0.0,0.0,0,False,False,False,True,False,False,False,False,False,True,False,False,True
2018-06-01,353.3592514307639,87,50,0.0,0.0,0,False,False,False,False,True,False,False,False,False,False,True,False,True
2018-06-02,281.7603232675635,79,48,0.0,0.0,0,False,False,False,False,False,True,False,True,False,False,True,False,True
2018-06-03,276.96479223878623,77,44,0.0,0.0,0,False,False,False,False,False,False,True,True,False,False,True,False,True
2018-06-04,226.6132257896235,90,51,0.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True
2018-06-05,298.4890851446528,91,53,0.0,0.0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
2018-06-06,258.02642942179665,84,53,0.0,0.0,0,False,False,True,False,False,False,False,False,False,False,True,False,True
2018-06-07,269.9778347974913,90,53,0.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,True
2018-06-08,377.23493930768734,91,51,0.0,0.0,0,False,False,False,False,True,False,False,False,False,False,True,False,True
2018-06-09,237.6388685077605,91,52,0.0,0.0,0,False,False,False,False,False,True,False,True,False,False,True,False,True
2018-06-10,187.61363444190835,94,54,0.0,0.0,0,False,False,False,False,False,False,True,True,False,False,True,False,True
2018-06-11,346.5852642185574,91,60,0.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True
2018-06-12,241.07899945591132,82,49,0.0,0.0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
2018-06-13,371.0578160689397,90,52,0.0,0.0,0,False,False,True,False,False,False,False,False,False,False,True,False,True
2018-06-14,245.1164753379208,95,56,0.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,True
2018-06-15,229.64926628750896,89,62,0.02,0.0,0,False,False,False,False,True,False,False,False,False,False,True,False,True
2018-06-16,229.44867511704294,84,57,0.26,0.0,0,False,False,False,False,False,True,False,True,False,False,True,False,True
2018-06-17,108.34981050717651,73,55,0.42,0.0,0,False,False,False,False,False,False,True,True,False,False,True,False,True
2018-06-18,182.75342877725157,73,55,0.52,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True
2018-06-19,371.8551767802197,73,57,0.44,0.0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
2018-06-20,262.9330912395578,76,48,0.0,0.0,0,False,False,True,False,False,False,False,False,False,False,True,False,True
2018-06-21,196.0541367000028,81,50,0.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,True
2018-06-22,244.06677639954077,86,53,0.01,0.0,0,False,False,False,False,True,False,False,False,False,False,True,False,True
2018-06-23,299.72081564312964,85,50,0.0,0.0,0,False,False,False,False,False,True,False,True,False,False,True,False,True
2018-06-24,214.5925955644191,85,54,0.02,0.0,0,False,False,False,False,False,False,True,True,False,False,True,False,True
2018-06-25,323.70955863762447,82,46,0.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True
2018-06-26,248.16514094026326,97,51,0.0,0.0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
2018-06-27,260.732398622412,97,65,0.0,0.0,0,False,False,True,False,False,False,False,False,False,False,True,False,True
2018-06-28,268.0970088539305,98,57,0.0,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,True
2018-06-29,273.5346174125746,90,72,0.0,0.0,0,False,False,False,False,True,False,False,False,False,False,True,False,True
2018-06-30,280.55226899122493,79,53,0.13,0.0,0,False,False,False,False,False,True,False,True,False,False,True,False,True
2018-07-01,221.74948435352687,87,46,0.0,0.0,0,False,False,False,False,False,False,True,True,False,False,True,False,True
2018-07-02,232.29436690807398,92,51,0.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True
2018-07-03,69.37378894769513,90,56,0.0,0.0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
2018-07-04,189.61263032890554,87,55,0.0,0.0,0,False,False,True,False,False,False,False,False,False,False,True,False,True
2018-07-05,176.96980010450625,84,58,0.24,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,True
2018-07-06,201.30642657438472,87,53,0.0,0.0,0,False,False,False,False,True,False,False,False,False,False,True,False,True
2018-07-07,163.75843774769814,96,57,0.0,0.0,0,False,False,False,False,False,True,False,True,False,False,True,False,True
2018-07-08,212.0818539862399,96,60,0.0,0.0,0,False,False,False,False,False,False,True,True,False,False,True,False,True
2018-07-09,199.26939050623866,93,60,0.0,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True
2018-07-10,437.8366761644986,97,57,0.0,0.0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
2018-07-11,239.3844139726225,95,58,0.0,0.0,0,False,False,True,False,False,False,False,False,False,False,True,False,True
2018-07-12,148.66324752353432,92,61,0.05,0.0,0,False,False,False,True,False,False,False,False,False,False,True,False,True
2018-07-13,147.73992206913312,88,55,0.0,0.0,0,False,False,False,False,True,False,False,False,False,False,True,False,True
2018-07-14,202.218135584668,94,57,0.0,0.0,0,False,False,False,False,False,True,False,True,False,False,True,False,True
2018-07-15,190.63766596030882,93,61,0.45,0.0,0,False,False,False,False,False,False,True,True,False,False,True,False,True
2018-07-16,301.52543726470844,85,54,0.02,0.0,0,True,False,False,False,False,False,False,False,False,False,True,False,True
2018-07-17,245.74063822293093,84,61,0.0,0.0,0,False,True,False,False,False,False,False,False,False,False,True,False,True
2018-07-18,141.3384270959684,94,60,0.0,0.0,0,False,False,True,False,False,False,False,False,False,False,True,False,True
